customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,nps,sentiment_score,tenure_bucket,monthly_to_total_ratio,has_dependents,contract_payment,avg_monthly_charges,num_services,segment
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,9,0.8604307756958974,48-72,0.02018671487346721,0,One year_Mailed check,19.672115006305482,1,0
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,7,0.7169717777405449,48-72,0.014453587996281134,1,Two year_Bank transfer (automatic),103.9753506482345,7,1
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,3,0.38981619632423425,6-12,0.1044761992912346,1,Month-to-month_Credit card (automatic),52.83499471650053,4,2
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,10,1.0,12-24,0.04833861181580405,0,Month-to-month_Electronic check,88.70951958526098,5,2
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,0,0.031807774251971774,0-6,0.9999999747793198,0,Month-to-month_Electronic check,39.64996035003965,4,3
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,9,0.8188233307800797,6-12,0.09789863981261489,0,One year_Bank transfer (automatic),16.854165262152897,1,3
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,1,0.10596483525110087,0-6,0.9999999503722109,0,Month-to-month_Mailed check,20.14997985002015,1,3
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,10,0.996652004835143,48-72,0.017089384035522702,0,Two year_Credit card (automatic),60.43275757874556,5,1
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,9,0.914537054847559,48-72,0.02006531326126475,1,Month-to-month_Credit card (automatic),60.61836610982927,5,2
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,6,0.581965626526127,24-48,0.03612962234670742,0,Month-to-month_Bank transfer (automatic),51.01999829933339,4,2
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,0,0.08310383705073343,24-48,0.02091953296465272,1,Month-to-month_Electronic check,101.04574253094165,6,1
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,2,0.20263877581489115,0-6,0.9999999668874183,1,Month-to-month_Electronic check,30.199969800030203,3,3
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,8,0.8075111677468436,48-72,0.014169198280201713,0,Two year_Credit card (automatic),88.46458210465859,9,1
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,6,0.5018779887576574,12-24,0.05918946111134438,1,Month-to-month_Mailed check,64.29999621764728,4,2
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,7,0.6946662159027839,48-72,0.014238320068237784,0,Two year_Credit card (automatic),95.30915358719503,7,1
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,9,0.9574629675015317,0-6,0.5257363031889001,0,Month-to-month_Credit card (automatic),90.8249545875227,5,2
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,9,0.9277787804070518,24-48,0.035290351817711674,1,One year_Mailed check,69.42407150281217,6,2
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,8,0.6922204530128446,0-6,0.9999999504950519,0,Month-to-month_Bank transfer (automatic),20.199979800020202,1,3
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,9,0.8775162463426888,0-6,0.9999999779005531,0,Month-to-month_Bank transfer (automatic),45.249954750045255,2,3
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,9,0.9865949733681502,48-72,0.013776080089665034,1,Two year_Bank transfer (automatic),100.7180541566937,7,1
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0,0.0,0-6,0.2199431990535084,0,Month-to-month_Electronic check,63.37998732400253,2,2
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,8,0.8161207991355565,24-48,0.021080517424941374,0,Month-to-month_Credit card (automatic),77.13695484484882,3,2
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,4,0.4809504643643651,24-48,0.029964076909216292,0,Month-to-month_Electronic check,104.38970281206757,7,1
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,2,0.1922692929226547,6-12,0.08851999268272118,0,Month-to-month_Bank transfer (automatic),100.49089995537274,6,2
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,10,1.0,6-12,0.1041622869368041,1,One year_Mailed check,47.56999524300048,3,3
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,6,0.620569793857918,48-72,0.014202592175397375,1,Two year_Credit card (automatic),69.60499900564288,6,1
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,7,0.7312574431755196,12-24,0.04961147627110227,1,One year_Mailed check,24.602939729238837,1,3
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,9,0.9189607828416735,48-72,0.016425140643959075,0,Two year_Credit card (automatic),77.1658717910179,8,1
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,6,0.5726185060742607,12-24,0.07764022611682692,0,Month-to-month_Electronic check,75.49614803875785,7,2
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,9,0.8776101224288665,48-72,0.021629508275109555,0,Month-to-month_Electronic check,79.72856980145777,4,1
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,7,0.6572711909815837,0-6,0.5077319535285366,0,Month-to-month_Mailed check,48.49997575001212,3,3
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,1,0.018014544056485546,0-6,0.5594866419737312,0,Month-to-month_Electronic check,72.07496396251801,3,2
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,6,0.6622264955338322,48-72,0.01890796149203187,0,Two year_Credit card (automatic),81.11153690170121,7,1
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,7,0.7005041483440605,48-72,0.015079570293345343,1,Two year_Credit card (automatic),61.65362229487505,6,1
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,10,1.0,24-48,0.02351025723907255,0,Month-to-month_Electronic check,89.27325373783131,5,1
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1,0.1782686337292325,12-24,0.06947560286772601,0,Month-to-month_Credit card (automatic),95.0933269937782,6,2
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,9,0.9026708740454772,24-48,0.03965423784574545,0,Month-to-month_Credit card (automatic),70.10599719576011,6,2
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,3,0.23432554341546874,6-12,0.12734880763090353,0,Month-to-month_Credit card (automatic),79.16249010468874,4,2
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,9,0.8901905927073768,48-72,0.016796257022721223,1,One year_Credit card (automatic),74.27249876212502,7,1
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,6,0.566442819661844,12-24,0.05446349601753816,0,Month-to-month_Electronic check,97.36388347978425,5,2
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,9,0.8009924770472506,48-72,0.015789390287775797,1,One year_Credit card (automatic),100.17777618765435,6,1
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,10,0.9749135547535561,48-72,0.015325697567909203,1,One year_Electronic check,107.21742261791785,8,1
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,8,0.7964231393967744,24-48,0.02789891532159352,1,Two year_Credit card (automatic),26.302940402854695,2,0
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,6,0.5678337802117672,48-72,0.013687815932148182,0,Two year_Credit card (automatic),109.07916515167827,7,1
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,9,0.8614227456524257,24-48,0.021350725495241075,0,Month-to-month_Electronic check,100.1510616989136,6,1
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,7,0.6361232088933522,48-72,0.016493294436220433,0,Month-to-month_Bank transfer (automatic),90.84499848591669,5,1
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,9,0.9097961074177139,48-72,0.014213369340238566,0,Two year_Bank transfer (automatic),41.138888317515445,5,0
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,7,0.793463464160812,12-24,0.05683836583759443,1,One year_Credit card (automatic),53.172219268210036,4,2
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,5,0.5639311944025573,6-12,0.11011956825882815,0,Month-to-month_Electronic check,95.24998941666784,5,2
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,7,0.7326813443993482,0-6,0.3084801298300691,0,Month-to-month_Electronic check,81.36663954445348,6,2
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,9,0.9337704559465521,24-48,0.021614365739829233,0,One year_Electronic check,77.66701962410596,4,1
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,10,0.9933678427870437,24-48,0.0317155213712496,0,Two year_Mailed check,80.5548361111343,7,2
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,7,0.609774341035648,48-72,0.021645719173224064,1,Two year_Bank transfer (automatic),18.617999627640007,1,0
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,7,0.681528415526965,6-12,0.08998703996169827,0,Month-to-month_Mailed check,88.7349911265009,4,2
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,9,0.8515361156333925,0-6,0.9999999796126406,0,Month-to-month_Mailed check,49.04995095004905,3,3
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,7,0.7077348374672662,48-72,0.01870444228789763,1,One year_Electronic check,20.974038058191578,1,0
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,7,0.7616607351969377,48-72,0.015720524015252778,1,Two year_Bank transfer (automatic),110.92187326684574,8,1
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,9,0.998670479512423,48-72,0.01702232204336493,1,Two year_Bank transfer (automatic),22.97741898423518,2,0
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,9,0.9032310515590266,0-6,0.36358511632702867,1,Month-to-month_Bank transfer (automatic),59.13331362222879,5,2
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,6,0.5166421831411322,48-72,0.017998208320221806,0,One year_Electronic check,109.63392661367989,8,1
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,10,1.0,24-48,0.020696580314745493,0,One year_Credit card (automatic),58.45325959884218,3,0
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,10,1.0,6-12,0.1133229650319897,1,Month-to-month_Mailed check,60.281242464844695,4,2
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,7,0.7339421935263098,24-48,0.035404726928714665,0,Month-to-month_Electronic check,70.37666432077786,6,2
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,10,0.9990402224799585,24-48,0.021288837727035312,1,One year_Credit card (automatic),27.035554954765445,2,0
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,1,0.10332591369803398,0-6,0.9999999873976058,1,Month-to-month_Electronic check,79.34992065007935,3,2
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,6,0.568396962105647,6-12,0.08941363741149086,1,Month-to-month_Electronic check,51.395449873140926,5,2
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,3,0.28440490084455605,6-12,0.1512376732718099,0,Month-to-month_Bank transfer (automatic),70.9857041448994,3,2
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,9,0.9256616213407591,24-48,0.02398613517643301,0,Month-to-month_Bank transfer (automatic),103.03571183248306,7,1
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,9,0.799575814192825,48-72,0.020701700292082292,0,Two year_Bank transfer (automatic),19.86428530889214,1,0
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,10,0.9841355717168088,6-12,0.10808163253542134,0,Month-to-month_Credit card (automatic),102.08332199074201,6,2
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,6,0.6343949983997955,24-48,0.028052991478908128,0,One year_Bank transfer (automatic),63.298569620040865,4,2
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,10,1.0,24-48,0.019536423822576702,1,Two year_Bank transfer (automatic),22.020832874565983,1,0
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,10,0.9800831777934882,24-48,0.02151871424709447,1,Two year_Mailed check,20.15434738794897,1,0
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,6,0.6592684890411893,24-48,0.033440673734515064,0,Month-to-month_Mailed check,34.801722937871624,3,3
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,6,0.6845011922708971,24-48,0.03192358570075341,1,Month-to-month_Bank transfer (automatic),85.67333047755564,4,2
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,6,0.5807308799468661,0-6,0.9999999866131194,0,Month-to-month_Electronic check,74.69992530007471,3,2
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,6,0.572089573358409,48-72,0.014700091873001688,1,Two year_Mailed check,86.57954414273418,8,1
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,9,0.8908962764954037,48-72,0.0156254397051322,0,Month-to-month_Credit card (automatic),109.3384598563314,8,1
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,8,0.7959024107468453,48-72,0.013527191798750888,0,Two year_Bank transfer (automatic),103.59791522780674,7,1
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,2,0.254541133392776,6-12,0.08513506218241758,0,Month-to-month_Electronic check,77.27916022673665,4,2
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,6,0.5613137410245201,48-72,0.014077537007164583,1,One year_Credit card (automatic),66.88309764953384,6,1
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,2,0.27690327180527347,0-6,0.18489240065970663,0,Month-to-month_Mailed check,22.76999544600091,1,3
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,8,0.7599621223636891,48-72,0.01896676298864996,0,Two year_Bank transfer (automatic),21.292307282840248,1,0
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,0,0.0,24-48,0.03917279775733832,0,Month-to-month_Electronic check,100.57999597680016,6,2
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,8,0.826188860577934,0-6,0.9999999504950519,0,Month-to-month_Mailed check,20.199979800020202,1,3
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,10,1.0,0-6,0.9999999485861208,1,Month-to-month_Electronic check,19.44998055001945,1,3
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,7,0.7089327740506456,24-48,0.026347903254285585,0,One year_Bank transfer (automatic),94.88420802936295,6,1
